null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
3043563745 |(-17.172, 206.001, 167.893)| |(0.0431523, -0.961629, -0.270937)|
3043572871 |(-15.9772, 203.164, 168.449)| |(0.0577393, -0.958598, -0.278847)|
3043581879 |(-14.2578, 200.791, 167.77)| |(0.0782498, -0.952398, -0.294644)|
3043590789 |(-10.1954, 198.226, 169.191)| |(0.0921706, -0.955486, -0.280269)|
3043599953 |(-6.46385, 195.569, 170.225)| |(0.105283, -0.966291, -0.234942)|
3043608948 |(-5.75173, 194.354, 170.186)| |(0.135962, -0.975427, -0.17337)|
3043618015 |(-3.62771, 192.998, 169.967)| |(0.168948, -0.971768, -0.164693)|
3043627120 |(-0.203034, 190.819, 169.261)| |(0.193478, -0.970714, -0.142408)|
3043636077 |(4.82688, 189.158, 168.274)| |(0.22568, -0.965651, -0.128792)|
3043645075 |(10.809, 187.495, 168.029)| |(0.242397, -0.961576, -0.1289)|
3043654103 |(17.2283, 186.563, 168.248)| |(0.257874, -0.956746, -0.134679)|
3043663432 |(24.144, 184.448, 168.327)| |(0.265849, -0.949077, -0.169049)|
3043672275 |(31.1599, 184.048, 167.759)| |(0.281768, -0.945371, -0.163956)|
3043681244 |(36.6309, 184.45, 166.033)| |(0.294904, -0.945848, -0.135661)|
3043690502 |(41.8686, 186.062, 164.304)| |(0.309139, -0.94612, -0.0963878)|
3043699368 |(46.3432, 187.452, 161.214)| |(0.319734, -0.945829, -0.0563745)|
3043708370 |(49.7464, 188.326, 156.991)| |(0.311555, -0.949689, -0.0319873)|
3043717564 |(52.7275, 189.686, 151.729)| |(0.297142, -0.954819, -0.00517567)|
3043726510 |(55.4652, 191.603, 145.13)| |(0.281683, -0.959374, 0.0160359)|
3043735614 |(58.6083, 194.304, 140.672)| |(0.260188, -0.965417, 0.0165072)|
3043744762 |(61.4505, 197.774, 135.82)| |(0.246367, -0.969119, 0.0105541)|
3043753630 |(63.8461, 201.755, 130.776)| |(0.240919, -0.970544, 0.00158192)|
3043762794 |(65.0946, 205.526, 124.439)| |(0.239705, -0.970624, -0.0207599)|
3043771749 |(65.7034, 209.172, 117.374)| |(0.238548, -0.970224, -0.0419531)|
3043780880 |(65.979, 213.263, 109.86)| |(0.233169, -0.970242, -0.0652912)|
3043789739 |(65.9885, 217.282, 102.579)| |(0.22176, -0.97005, -0.0991264)|
3043798744 |(65.5825, 221.619, 95.0642)| |(0.204062, -0.970481, -0.12855)|
3043807737 |(65.2253, 226.269, 88.1912)| |(0.188832, -0.969943, -0.153472)|
3043816824 |(64.4562, 231.016, 81.8577)| |(0.17126, -0.967968, -0.1836)|
3043825874 |(63.5281, 235.249, 76.2643)| |(0.152253, -0.96487, -0.214115)|
3043834988 |(62.0373, 239.134, 70.7217)| |(0.131182, -0.961853, -0.240064)|
3043843961 |(60.3243, 242.768, 65.5725)| |(0.108329, -0.960333, -0.256952)|
3043853002 |(58.2824, 246.215, 60.6664)| |(0.0904945, -0.958264, -0.271183)|
3043861989 |(55.7698, 249.181, 55.7881)| |(0.0697349, -0.955884, -0.285347)|
3043871136 |(52.8372, 251.911, 50.9139)| |(0.0490022, -0.952501, -0.300568)|
3043880127 |(49.7217, 254.341, 46.4456)| |(0.0290835, -0.950129, -0.310499)|
3043889125 |(46.1409, 256.599, 42.1633)| |(0.00994913, -0.949691, -0.313032)|
3043898248 |(42.1449, 258.816, 38.2111)| |(-0.0111107, -0.948351, -0.317028)|
3043907251 |(37.5143, 260.786, 34.2922)| |(-0.031292, -0.94783, -0.317236)|
3043916256 |(32.547, 262.951, 30.9384)| |(-0.0550519, -0.948189, -0.3129)|
3043925244 |(27.391, 265.121, 28.1123)| |(-0.0726011, -0.949067, -0.306595)|
